timestamp_utc,iso_pdt,carrier=verizon;connection_type=lte_cellular;experiment=none
1782933617,2026-07-01T12:20:17-07:00,-64
1782933677,2026-07-01T12:21:17-07:00,-64
1782933737,2026-07-01T12:22:17-07:00,-64
1782933797,2026-07-01T12:23:17-07:00,-64
1782933857,2026-07-01T12:24:17-07:00,-64
1782958517,2026-07-01T19:15:17-07:00,-59
1782958577,2026-07-01T19:16:17-07:00,-59
1782958637,2026-07-01T19:17:17-07:00,-59
1782958697,2026-07-01T19:18:17-07:00,-59
1782958757,2026-07-01T19:19:17-07:00,-59
1782998057,2026-07-02T06:14:17-07:00,46
1782998117,2026-07-02T06:15:17-07:00,46
1782998177,2026-07-02T06:16:17-07:00,46
1782998237,2026-07-02T06:17:17-07:00,46
1782998297,2026-07-02T06:18:17-07:00,46
1783020617,2026-07-02T12:30:17-07:00,-122
1783020677,2026-07-02T12:31:17-07:00,-122
1783020737,2026-07-02T12:32:17-07:00,-122
1783020797,2026-07-02T12:33:17-07:00,-122
1783020857,2026-07-02T12:34:17-07:00,-122
1783039337,2026-07-02T17:42:17-07:00,-82
1783039397,2026-07-02T17:43:17-07:00,-82
1783039457,2026-07-02T17:44:17-07:00,-82
1783039517,2026-07-02T17:45:17-07:00,-82
1783039577,2026-07-02T17:46:17-07:00,-82
1783091297,2026-07-03T08:08:17-07:00,147
1783091357,2026-07-03T08:09:17-07:00,147
1783091417,2026-07-03T08:10:17-07:00,147
1783091477,2026-07-03T08:11:17-07:00,147
1783091537,2026-07-03T08:12:17-07:00,147
1783105517,2026-07-03T12:05:17-07:00,-53
1783105577,2026-07-03T12:06:17-07:00,-53
1783105637,2026-07-03T12:07:17-07:00,-53
1783105697,2026-07-03T12:08:17-07:00,-53
1783105757,2026-07-03T12:09:17-07:00,-53
1783388400,2026-07-06T18:40:00-07:00,78
1783388460,2026-07-06T18:41:00-07:00,78
1783388520,2026-07-06T18:42:00-07:00,78
1783388580,2026-07-06T18:43:00-07:00,78
1783388640,2026-07-06T18:44:00-07:00,78
1783390200,2026-07-06T19:10:00-07:00,-12
1783390260,2026-07-06T19:11:00-07:00,-12
1783390320,2026-07-06T19:12:00-07:00,-12
1783390380,2026-07-06T19:13:00-07:00,-12
1783390440,2026-07-06T19:14:00-07:00,-12
1783442940,2026-07-07T09:49:00-07:00,-419
1783443000,2026-07-07T09:50:00-07:00,-419
1783443060,2026-07-07T09:51:00-07:00,-419
1783443120,2026-07-07T09:52:00-07:00,-419
1783443180,2026-07-07T09:53:00-07:00,-419
1783451400,2026-07-07T12:10:00-07:00,-32
1783451460,2026-07-07T12:11:00-07:00,-32
1783451520,2026-07-07T12:12:00-07:00,-32
1783451580,2026-07-07T12:13:00-07:00,-32
1783451640,2026-07-07T12:14:00-07:00,-32
1783472280,2026-07-07T17:58:00-07:00,-11
1783472340,2026-07-07T17:59:00-07:00,-11
1783472400,2026-07-07T18:00:00-07:00,-11
1783472460,2026-07-07T18:01:00-07:00,-11
1783472520,2026-07-07T18:02:00-07:00,-11
1783529520,2026-07-08T09:52:00-07:00,5
1783529580,2026-07-08T09:53:00-07:00,5
1783529640,2026-07-08T09:54:00-07:00,5
1783529700,2026-07-08T09:55:00-07:00,5
1783529760,2026-07-08T09:56:00-07:00,5
1783544400,2026-07-08T14:00:00-07:00,-30
1783544460,2026-07-08T14:01:00-07:00,-30
1783544520,2026-07-08T14:02:00-07:00,-30
1783544580,2026-07-08T14:03:00-07:00,-30
1783544640,2026-07-08T14:04:00-07:00,-30
1783558920,2026-07-08T18:02:00-07:00,5
1783558980,2026-07-08T18:03:00-07:00,5
1783559040,2026-07-08T18:04:00-07:00,5
1783559100,2026-07-08T18:05:00-07:00,5
1783559160,2026-07-08T18:06:00-07:00,5
1783606200,2026-07-09T07:10:00-07:00,120
