timestamp_utc,iso_pdt,carrier=verizon;connection_type=5g_cellular;experiment=none
1782977340,2026-07-02T00:29:00-07:00,492
1782977400,2026-07-02T00:30:00-07:00,492
1782977460,2026-07-02T00:31:00-07:00,492
1782977520,2026-07-02T00:32:00-07:00,492
1782977580,2026-07-02T00:33:00-07:00,492
1782983400,2026-07-02T02:10:00-07:00,492
1782983460,2026-07-02T02:11:00-07:00,492
1782983520,2026-07-02T02:12:00-07:00,492
1782983580,2026-07-02T02:13:00-07:00,492
1782983640,2026-07-02T02:14:00-07:00,492
1782986640,2026-07-02T03:04:00-07:00,143
1782986700,2026-07-02T03:05:00-07:00,143
1782986760,2026-07-02T03:06:00-07:00,143
1782986820,2026-07-02T03:07:00-07:00,143
1782986880,2026-07-02T03:08:00-07:00,143
1782988800,2026-07-02T03:40:00-07:00,143
1782988860,2026-07-02T03:41:00-07:00,143
1782988920,2026-07-02T03:42:00-07:00,143
1782988980,2026-07-02T03:43:00-07:00,143
1782989040,2026-07-02T03:44:00-07:00,143
1782998280,2026-07-02T06:18:00-07:00,143
1782998340,2026-07-02T06:19:00-07:00,143
1782998400,2026-07-02T06:20:00-07:00,142
1782998460,2026-07-02T06:21:00-07:00,564
1782998520,2026-07-02T06:22:00-07:00,656
1782998580,2026-07-02T06:23:00-07:00,655
1782998640,2026-07-02T06:24:00-07:00,655
1782998700,2026-07-02T06:25:00-07:00,654
1782998760,2026-07-02T06:26:00-07:00,742
1782998820,2026-07-02T06:27:00-07:00,259
1782998880,2026-07-02T06:28:00-07:00,473
1782998940,2026-07-02T06:29:00-07:00,473
1782999000,2026-07-02T06:30:00-07:00,472
1782999060,2026-07-02T06:31:00-07:00,472
1782999120,2026-07-02T06:32:00-07:00,153
1782999180,2026-07-02T06:33:00-07:00,154
1782999240,2026-07-02T06:34:00-07:00,154
1782999300,2026-07-02T06:35:00-07:00,154
1782999360,2026-07-02T06:36:00-07:00,154
1782999420,2026-07-02T06:37:00-07:00,154
1782999480,2026-07-02T06:38:00-07:00,472
1782999540,2026-07-02T06:39:00-07:00,472
1782999600,2026-07-02T06:40:00-07:00,247
1782999660,2026-07-02T06:41:00-07:00,247
1782999720,2026-07-02T06:42:00-07:00,247
1782999780,2026-07-02T06:43:00-07:00,247
1782999840,2026-07-02T06:44:00-07:00,247
1782999960,2026-07-02T06:46:00-07:00,161
1783000020,2026-07-02T06:47:00-07:00,161
1783000080,2026-07-02T06:48:00-07:00,161
1783000140,2026-07-02T06:49:00-07:00,378
1783000200,2026-07-02T06:50:00-07:00,378
1783000260,2026-07-02T06:51:00-07:00,440
1783000320,2026-07-02T06:52:00-07:00,474
1783000380,2026-07-02T06:53:00-07:00,358
1783000440,2026-07-02T06:54:00-07:00,235
1783000500,2026-07-02T06:55:00-07:00,194
1783000560,2026-07-02T06:56:00-07:00,499
1783000620,2026-07-02T06:57:00-07:00,498
1783000680,2026-07-02T06:58:00-07:00,865
1783000740,2026-07-02T06:59:00-07:00,865
1783000800,2026-07-02T07:00:00-07:00,702
1783000860,2026-07-02T07:01:00-07:00,506
1783000920,2026-07-02T07:02:00-07:00,506
1783000980,2026-07-02T07:03:00-07:00,507
1783001040,2026-07-02T07:04:00-07:00,507
1783001100,2026-07-02T07:05:00-07:00,87
1783001160,2026-07-02T07:06:00-07:00,62
1783001220,2026-07-02T07:07:00-07:00,62
1783001280,2026-07-02T07:08:00-07:00,292
1783001340,2026-07-02T07:09:00-07:00,292
1783001400,2026-07-02T07:10:00-07:00,51
1783001460,2026-07-02T07:11:00-07:00,51
1783001520,2026-07-02T07:12:00-07:00,51
1783001580,2026-07-02T07:13:00-07:00,51
1783001640,2026-07-02T07:14:00-07:00,51
1783001760,2026-07-02T07:16:00-07:00,755
1783001820,2026-07-02T07:17:00-07:00,755
1783001880,2026-07-02T07:18:00-07:00,755
1783001940,2026-07-02T07:19:00-07:00,755
1783002000,2026-07-02T07:20:00-07:00,755
1783002060,2026-07-02T07:21:00-07:00,755
1783002120,2026-07-02T07:22:00-07:00,755
1783002180,2026-07-02T07:23:00-07:00,755
1783002240,2026-07-02T07:24:00-07:00,755
1783002480,2026-07-02T07:28:00-07:00,755
1783002540,2026-07-02T07:29:00-07:00,21
1783002600,2026-07-02T07:30:00-07:00,21
1783002660,2026-07-02T07:31:00-07:00,21
1783002720,2026-07-02T07:32:00-07:00,21
1783002780,2026-07-02T07:33:00-07:00,21
1783005720,2026-07-02T08:22:00-07:00,755
1783005780,2026-07-02T08:23:00-07:00,755
1783005840,2026-07-02T08:24:00-07:00,755
1783005900,2026-07-02T08:25:00-07:00,755
1783005960,2026-07-02T08:26:00-07:00,755
1783006680,2026-07-02T08:38:00-07:00,21
1783006740,2026-07-02T08:39:00-07:00,21
1783006800,2026-07-02T08:40:00-07:00,21
1783006860,2026-07-02T08:41:00-07:00,21
1783006920,2026-07-02T08:42:00-07:00,21
1783006980,2026-07-02T08:43:00-07:00,21
1783007040,2026-07-02T08:44:00-07:00,21
1783007100,2026-07-02T08:45:00-07:00,21
1783007460,2026-07-02T08:51:00-07:00,755
1783007520,2026-07-02T08:52:00-07:00,755
1783007580,2026-07-02T08:53:00-07:00,755
1783007640,2026-07-02T08:54:00-07:00,755
1783007700,2026-07-02T08:55:00-07:00,755
1783008120,2026-07-02T09:02:00-07:00,678
1783008180,2026-07-02T09:03:00-07:00,678
1783008240,2026-07-02T09:04:00-07:00,678
1783008300,2026-07-02T09:05:00-07:00,678
1783008360,2026-07-02T09:06:00-07:00,678
1783009380,2026-07-02T09:23:00-07:00,755
1783009440,2026-07-02T09:24:00-07:00,755
1783009500,2026-07-02T09:25:00-07:00,755
1783009560,2026-07-02T09:26:00-07:00,755
1783009620,2026-07-02T09:27:00-07:00,755
1783015560,2026-07-02T11:06:00-07:00,21
1783015620,2026-07-02T11:07:00-07:00,21
1783015680,2026-07-02T11:08:00-07:00,21
1783015740,2026-07-02T11:09:00-07:00,21
1783015800,2026-07-02T11:10:00-07:00,21
1783019880,2026-07-02T12:18:00-07:00,199
