timestamp_utc,iso_pdt,carrier=verizon;connection_type=lte_cellular;experiment=none
1782998100,2026-07-02T06:15:00-07:00,-8
1782998160,2026-07-02T06:16:00-07:00,-8
1782998220,2026-07-02T06:17:00-07:00,-8
1782998280,2026-07-02T06:18:00-07:00,-8
1782998340,2026-07-02T06:19:00-07:00,-8
1783020660,2026-07-02T12:31:00-07:00,-124
1783020720,2026-07-02T12:32:00-07:00,-124
1783020780,2026-07-02T12:33:00-07:00,-124
1783020840,2026-07-02T12:34:00-07:00,-124
1783020900,2026-07-02T12:35:00-07:00,-124
1783039320,2026-07-02T17:42:00-07:00,-109
1783039380,2026-07-02T17:43:00-07:00,-109
1783039440,2026-07-02T17:44:00-07:00,-109
1783039500,2026-07-02T17:45:00-07:00,-109
1783039560,2026-07-02T17:46:00-07:00,-109
1783091280,2026-07-03T08:08:00-07:00,59
1783091340,2026-07-03T08:09:00-07:00,59
1783091400,2026-07-03T08:10:00-07:00,59
1783091460,2026-07-03T08:11:00-07:00,59
1783091520,2026-07-03T08:12:00-07:00,59
1783105560,2026-07-03T12:06:00-07:00,-121
1783105620,2026-07-03T12:07:00-07:00,-121
1783105680,2026-07-03T12:08:00-07:00,-121
1783105740,2026-07-03T12:09:00-07:00,-121
1783105800,2026-07-03T12:10:00-07:00,-121
