timestamp_utc,iso_pdt,carrier=verizon;connection_type=5g_cellular;experiment=none
1782719520,2026-06-29T00:52:00-07:00,143
1782719580,2026-06-29T00:53:00-07:00,143
1782719640,2026-06-29T00:54:00-07:00,143
1782719700,2026-06-29T00:55:00-07:00,143
1782719760,2026-06-29T00:56:00-07:00,143
1782719820,2026-06-29T00:57:00-07:00,143
1782719880,2026-06-29T00:58:00-07:00,143
1782719940,2026-06-29T00:59:00-07:00,143
1782720000,2026-06-29T01:00:00-07:00,143
1782720060,2026-06-29T01:01:00-07:00,143
1782720420,2026-06-29T01:07:00-07:00,143
1782720480,2026-06-29T01:08:00-07:00,143
1782720540,2026-06-29T01:09:00-07:00,143
1782720600,2026-06-29T01:10:00-07:00,143
1782720660,2026-06-29T01:11:00-07:00,143
1782724740,2026-06-29T02:19:00-07:00,143
1782724800,2026-06-29T02:20:00-07:00,143
1782724860,2026-06-29T02:21:00-07:00,143
1782724920,2026-06-29T02:22:00-07:00,143
1782724980,2026-06-29T02:23:00-07:00,143
1782725340,2026-06-29T02:29:00-07:00,143
1782725400,2026-06-29T02:30:00-07:00,143
1782725460,2026-06-29T02:31:00-07:00,143
1782725520,2026-06-29T02:32:00-07:00,143
1782725580,2026-06-29T02:33:00-07:00,143
1782726300,2026-06-29T02:45:00-07:00,143
1782726360,2026-06-29T02:46:00-07:00,143
1782726420,2026-06-29T02:47:00-07:00,143
1782726480,2026-06-29T02:48:00-07:00,143
1782726540,2026-06-29T02:49:00-07:00,143
1782726900,2026-06-29T02:55:00-07:00,143
1782726960,2026-06-29T02:56:00-07:00,143
1782727020,2026-06-29T02:57:00-07:00,143
1782727080,2026-06-29T02:58:00-07:00,143
1782727140,2026-06-29T02:59:00-07:00,143
1782729660,2026-06-29T03:41:00-07:00,143
1782729720,2026-06-29T03:42:00-07:00,143
1782729780,2026-06-29T03:43:00-07:00,143
1782729840,2026-06-29T03:44:00-07:00,143
1782729900,2026-06-29T03:45:00-07:00,143
1782733380,2026-06-29T04:43:00-07:00,143
1782733440,2026-06-29T04:44:00-07:00,143
1782733500,2026-06-29T04:45:00-07:00,143
1782733560,2026-06-29T04:46:00-07:00,143
1782733620,2026-06-29T04:47:00-07:00,143
1782734280,2026-06-29T04:58:00-07:00,143
1782734340,2026-06-29T04:59:00-07:00,143
1782734400,2026-06-29T05:00:00-07:00,143
1782734460,2026-06-29T05:01:00-07:00,143
1782734520,2026-06-29T05:02:00-07:00,143
1782736440,2026-06-29T05:34:00-07:00,492
1782736500,2026-06-29T05:35:00-07:00,492
1782736560,2026-06-29T05:36:00-07:00,492
1782736620,2026-06-29T05:37:00-07:00,492
1782736680,2026-06-29T05:38:00-07:00,492
1782737940,2026-06-29T05:59:00-07:00,143
1782738000,2026-06-29T06:00:00-07:00,143
1782738060,2026-06-29T06:01:00-07:00,143
1782738120,2026-06-29T06:02:00-07:00,143
1782738180,2026-06-29T06:03:00-07:00,143
1782742020,2026-06-29T07:07:00-07:00,143
1782742080,2026-06-29T07:08:00-07:00,143
1782742140,2026-06-29T07:09:00-07:00,142
1782742200,2026-06-29T07:10:00-07:00,564
1782742260,2026-06-29T07:11:00-07:00,656
1782742320,2026-06-29T07:12:00-07:00,655
1782742380,2026-06-29T07:13:00-07:00,654
1782742440,2026-06-29T07:14:00-07:00,742
1782742500,2026-06-29T07:15:00-07:00,742
1782742560,2026-06-29T07:16:00-07:00,259
1782742620,2026-06-29T07:17:00-07:00,259
1782742680,2026-06-29T07:18:00-07:00,473
1782742740,2026-06-29T07:19:00-07:00,473
1782742800,2026-06-29T07:20:00-07:00,472
1782742860,2026-06-29T07:21:00-07:00,472
1782742920,2026-06-29T07:22:00-07:00,472
1782742980,2026-06-29T07:23:00-07:00,153
1782743040,2026-06-29T07:24:00-07:00,153
1782743100,2026-06-29T07:25:00-07:00,472
1782743160,2026-06-29T07:26:00-07:00,472
1782743220,2026-06-29T07:27:00-07:00,153
1782743280,2026-06-29T07:28:00-07:00,472
1782743340,2026-06-29T07:29:00-07:00,472
1782743400,2026-06-29T07:30:00-07:00,153
1782743460,2026-06-29T07:31:00-07:00,472
1782743520,2026-06-29T07:32:00-07:00,472
1782743580,2026-06-29T07:33:00-07:00,472
1782743640,2026-06-29T07:34:00-07:00,472
1782743700,2026-06-29T07:35:00-07:00,472
1782743760,2026-06-29T07:36:00-07:00,486
1782743820,2026-06-29T07:37:00-07:00,486
1782743880,2026-06-29T07:38:00-07:00,486
1782743940,2026-06-29T07:39:00-07:00,486
1782744000,2026-06-29T07:40:00-07:00,57
1782744060,2026-06-29T07:41:00-07:00,57
1782744120,2026-06-29T07:42:00-07:00,57
1782744180,2026-06-29T07:43:00-07:00,57
1782744240,2026-06-29T07:44:00-07:00,57
1782744300,2026-06-29T07:45:00-07:00,440
1782744360,2026-06-29T07:46:00-07:00,475
1782744420,2026-06-29T07:47:00-07:00,475
1782744480,2026-06-29T07:48:00-07:00,475
1782744540,2026-06-29T07:49:00-07:00,475
1782744600,2026-06-29T07:50:00-07:00,475
1782744660,2026-06-29T07:51:00-07:00,498
1782744720,2026-06-29T07:52:00-07:00,498
1782744780,2026-06-29T07:53:00-07:00,498
1782744840,2026-06-29T07:54:00-07:00,498
1782744900,2026-06-29T07:55:00-07:00,865
1782744960,2026-06-29T07:56:00-07:00,865
1782745020,2026-06-29T07:57:00-07:00,865
1782745080,2026-06-29T07:58:00-07:00,865
