timestamp_utc,iso_pdt,carrier=verizon;connection_type=lte_cellular;experiment=none
1782745980,2026-06-29T08:13:00-07:00,18.61
1782746040,2026-06-29T08:14:00-07:00,18.61
1782746100,2026-06-29T08:15:00-07:00,18.61
1782746160,2026-06-29T08:16:00-07:00,18.61
1782746220,2026-06-29T08:17:00-07:00,18.61
1782766200,2026-06-29T13:50:00-07:00,4.1
1782766260,2026-06-29T13:51:00-07:00,4.1
1782766320,2026-06-29T13:52:00-07:00,4.1
1782766380,2026-06-29T13:53:00-07:00,4.1
1782766440,2026-06-29T13:54:00-07:00,4.1
1782789240,2026-06-29T20:14:00-07:00,7.93
1782789300,2026-06-29T20:15:00-07:00,7.93
1782789360,2026-06-29T20:16:00-07:00,7.93
1782789420,2026-06-29T20:17:00-07:00,7.93
1782789480,2026-06-29T20:18:00-07:00,7.93
