timestamp_utc,iso_pdt,carrier=verizon;connection_type=5g_cellular;experiment=none
1782175382,2026-06-22T17:43:02-07:00,552
1782175442,2026-06-22T17:44:02-07:00,552
1782175502,2026-06-22T17:45:02-07:00,552
1782175562,2026-06-22T17:46:02-07:00,552
1782175622,2026-06-22T17:47:02-07:00,552
1782176342,2026-06-22T17:59:02-07:00,143
1782176402,2026-06-22T18:00:02-07:00,143
1782176462,2026-06-22T18:01:02-07:00,143
1782176522,2026-06-22T18:02:02-07:00,143
1782176582,2026-06-22T18:03:02-07:00,143
1782187682,2026-06-22T21:08:02-07:00,143
1782187742,2026-06-22T21:09:02-07:00,143
1782187802,2026-06-22T21:10:02-07:00,143
1782187862,2026-06-22T21:11:02-07:00,143
1782187922,2026-06-22T21:12:02-07:00,143
1782188342,2026-06-22T21:19:02-07:00,492
1782188402,2026-06-22T21:20:02-07:00,492
1782188462,2026-06-22T21:21:02-07:00,492
1782188522,2026-06-22T21:22:02-07:00,492
1782188582,2026-06-22T21:23:02-07:00,492
1782190142,2026-06-22T21:49:02-07:00,143
1782190202,2026-06-22T21:50:02-07:00,143
1782190262,2026-06-22T21:51:02-07:00,143
1782190322,2026-06-22T21:52:02-07:00,143
1782190382,2026-06-22T21:53:02-07:00,143
1782194942,2026-06-22T23:09:02-07:00,143
1782195002,2026-06-22T23:10:02-07:00,143
1782195062,2026-06-22T23:11:02-07:00,143
1782195122,2026-06-22T23:12:02-07:00,143
1782195182,2026-06-22T23:13:02-07:00,143
1782198182,2026-06-23T00:03:02-07:00,492
1782198242,2026-06-23T00:04:02-07:00,492
1782198302,2026-06-23T00:05:02-07:00,492
1782198362,2026-06-23T00:06:02-07:00,492
1782198422,2026-06-23T00:07:02-07:00,492
1782198482,2026-06-23T00:08:02-07:00,143
1782198542,2026-06-23T00:09:02-07:00,143
1782198602,2026-06-23T00:10:02-07:00,143
1782198662,2026-06-23T00:11:02-07:00,143
1782198722,2026-06-23T00:12:02-07:00,143
1782205922,2026-06-23T02:12:02-07:00,143
1782205982,2026-06-23T02:13:02-07:00,143
1782206042,2026-06-23T02:14:02-07:00,143
1782206102,2026-06-23T02:15:02-07:00,143
1782206162,2026-06-23T02:16:02-07:00,143
1782210002,2026-06-23T03:20:02-07:00,143
1782210062,2026-06-23T03:21:02-07:00,143
1782210122,2026-06-23T03:22:02-07:00,143
1782210182,2026-06-23T03:23:02-07:00,143
1782210242,2026-06-23T03:24:02-07:00,143
1782210362,2026-06-23T03:26:02-07:00,143
1782210422,2026-06-23T03:27:02-07:00,143
1782210482,2026-06-23T03:28:02-07:00,143
1782210542,2026-06-23T03:29:02-07:00,143
1782210602,2026-06-23T03:30:02-07:00,143
1782220082,2026-06-23T06:08:02-07:00,142
1782220142,2026-06-23T06:09:02-07:00,142
1782220202,2026-06-23T06:10:02-07:00,142
1782220262,2026-06-23T06:11:02-07:00,142
1782220322,2026-06-23T06:12:02-07:00,142
1782220382,2026-06-23T06:13:02-07:00,655
1782220442,2026-06-23T06:14:02-07:00,655
1782220502,2026-06-23T06:15:02-07:00,655
1782220562,2026-06-23T06:16:02-07:00,655
1782220622,2026-06-23T06:17:02-07:00,655
1782220682,2026-06-23T06:18:02-07:00,473
1782220742,2026-06-23T06:19:02-07:00,473
1782220802,2026-06-23T06:20:02-07:00,473
1782220862,2026-06-23T06:21:02-07:00,473
1782220922,2026-06-23T06:22:02-07:00,473
1782220982,2026-06-23T06:23:02-07:00,153
1782221042,2026-06-23T06:24:02-07:00,153
